airport_id,month,tavg,prcp,wspd,pres
BOS,10,14.88,1.16,14.41,1013.18
BOS,11,6.14,1.63,17.44,1018.72
BOS,12,4.94,4.9,15.61,1018.87
BPT,1,14.49,7.08,10.15,1018.79
BPT,2,15.51,2.6,11.45,1019.38
BPT,3,18.78,2.24,12.87,1016.75
BPT,4,19.94,6.02,12.25,1015.13
BPT,5,24.39,3.5,8.1,1014.54
BPT,6,27.82,1.57,8.22,1011.48
BPT,7,29.39,1.2,7.41,1015.83
BPT,8,30.84,0.14,9.23,1013.98
BPT,9,27.56,2.12,6.73,1014.46
BPT,10,21.35,1.56,9.89,1016.29
BPT,11,15.32,2.45,8.2,1019.83
BPT,12,13.15,3.13,8.63,1020.93
BQK,1,13.01,2.9,10.06,1020.33
BQK,2,16.79,3.52,12.73,1020.41
BQK,3,17.12,2.49,13.19,1018.49
BQK,4,20.04,5.82,13.6,1016.92
BQK,5,21.74,5.58,13.06,1015.73
BQK,6,25.35,6.11,13.4,1012.12
BQK,7,27.77,5.14,11.19,1015.81
BQK,8,27.7,10.37,9.85,1014.57
BQK,9,24.35,6.28,10.02,1016.16
BQK,10,19.61,2.22,10.4,1016.12
BQK,11,14.91,2.21,10.55,1019.74
BQK,12,12.99,5.9,12.26,1020.87
BQN,1,24.14,1.23,19.86,1017.98
BQN,2,24.22,0.9,26.07,1018.76
BQN,3,24.62,0.74,21.3,1017.43
BQN,4,25.02,2.3,17.8,1015.37
BQN,5,26.68,4.31,10.99,1015.09
BQN,6,27.77,3.13,15.07,1015.7
BQN,7,28.2,1.78,23.23,1017.05
BQN,8,28.0,3.45,18.68,1014.51
BQN,9,28.15,1.87,14.2,1013.33
BQN,10,27.61,3.44,11.07,1011.87
BQN,11,26.62,2.14,17.35,1014.0
BQN,12,25.16,0.68,19.55,1015.48
BRD,1,-8.48,1.32,11.95,1017.24
BRD,2,-8.38,1.45,13.13,1015.92
BRD,3,-4.91,1.27,13.3,1019.38
BRD,4,3.99,2.57,15.37,1013.73
BRD,5,15.75,1.44,12.41,1017.09
BRD,6,20.79,2.31,9.31,1012.96
BRD,7,20.66,0.43,9.29,1013.49
BRD,8,20.42,1.92,10.38,1014.43
BRD,9,18.0,4.52,9.99,1015.81
BRD,10,8.85,1.99,13.02,1015.76
BRD,11,0.63,0.74,12.98,1017.39
BRD,12,-0.85,2.95,11.24,1017.18
BRO,1,19.25,0.22,16.87,1016.84
BRO,2,18.27,0.26,20.55,1017.71
BRO,3,22.31,0.95,21.09,1013.67
BRO,4,23.19,4.27,17.28,1012.56
BRO,5,27.05,4.53,13.92,1012.19
BRO,6,30.01,0.92,19.91,1009.87
BRO,7,30.94,0.45,17.8,1014.3
BRO,8,31.26,0.81,15.83,1012.84
BRO,9,30.71,0.02,12.32,1012.72
BRO,10,25.54,1.69,15.04,1014.06
BRO,11,19.6,4.37,13.07,1017.92
BRO,12,19.09,0.09,10.96,1019.08
